"page"	"term"	"title"	"authors"	"year"	"n_citations"	"abstract"
3	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Pollen flora of Pakistan-Malvaceae: Dombeyoideae-Lxii"	"A Perveen, M Qaiser"	"2009"	20	"… now distributed in subfamilies, Byttnerioideae, Helicteroideae, … morphology of the subfamily 
Dombeyoideae from Pakistan. Present investigations are based on the pollen morphology …"
3	"intext:\"Byttnerioideae\" AND \"morphology\""	"A key to the species of Thomasia (Malvaceae: Byttnerioideae)."	"CF Wilkins, KA Shepherd"	"2019"	NA	"Thomasia (Malvaceae) is predominantly Western Australian; only T. petalocalyx has populations 
that extend to South Australia and Victoria. There are 31 formally named species in the …"
3	"intext:\"Byttnerioideae\" AND \"morphology\""	"Pollen morphology of Malvaceae sl from Cerrado forest fragments: details of aperture and ornamentation in the pollen types definition"	"ACV Lopes, CN de Souza, MD Saba"	"2022"	11	"… We analyzed the pollen morphology of 13 Brazilian native species of Malvaceae sl from … 
that can expand the knowledge on the pollen morphology of species of the family that occur in …"
3	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogenomics resolves deep subfamilial relationships in Malvaceae sl"	"T Cvetković, F Areces-Berazain, DD Hinsinger"	"2021"	14	"… Our analyses confirmed the placement of /Byttneriina, the clade comprising /Grewioideae 
and /Byttnerioideae, as sister to all remaining Malvaceae sl subfamilies (/Malvadendrina; …"
4	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Five new clavate-stigma Waltheria species endemic to Brazilian cerrado (Malvaceae sl, Byttnerioideae, Hermannieae)"	"JG Saunders"	"2021"	2	"… into different groups based upon gross morphology. Representative samples of each group 
… if groups with significantly different morphology demonstrated allopatric species distribution …"
4	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Flowering time and harvest on floral morphology and production of hermaphrodite flowers in the cashew tree Anacardium occidentale (Anacardiaceae)"	"J Soares-Pereira, JC DoVale"	"2023"	8	"… En general los granos de polen de la subfamilia Byttnerioideae se caracterizan por la 
presencia de aberturas simples: poros, o compuestas: colporos, y por una ornamentación …"
4	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogeny of the core Malvales: evidence from ndhF sequence data "	"WS Alverson, BA Whitlock, R Nyffeler"	"1999"	549	"… Two subclades of /Byttnerioideae are suggested by this study. These “byttnerioid” and “lasiopetaloid” … 
Members of the /Byttnerioideae clade show a general reduction of stamen number …"
4	"intext:\"Byttnerioideae\" AND \"morphology\""	"Systematics of Dombeyoideae (Malvaceae) in the Mascarene archipelago (Indian Ocean) inferred from morphology"	"TL Péchon, N Cao, JY Dubuisson, LDB Gigord"	"2009"	20	"… Indeed, the inflorescence structures and the floral morphology of Trochetia are constant in 
the genus and it is distinguishable by the very peculiar epicalyx. This diagnostic character is …"
4	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Inflorescence morphology of some Australian Lasiopetaleae (Sterculiaceae)"	"C Bayer, K Kubitzki"	"1996"	14	"… Another indication in favour of regarding the Lasiopetaleae as an advanced tribe of the 
Sterculiaceae-Byttnerioideae is the tendency towards reduction of the petals. This applies also to …"
4	"intext:\"Byttnerioideae\" AND \"morphology\""	"Pollen morphology of subfamily Malvoideae (Malvaceae sensu lato) in Thailand"	"S SAENSOUK, P SAENSOUK"	"2021"	7	"… The pollen morphology of 19 species with eight variants and ten genera of subfamily … morphology was provided. Eight species were studied for their pollen morphology for the first time. …"
4	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Morphological characterization of pollen grains of Brazilian species of Bombacoideae (Malvaceae sl.)"	"MD Saba, GL Esteves, VJ Santos"	"2020"	4	"… Pollen morphology of selected species of the subfamily Bombacoideae (Malvaceae sensu 
lato). Acta … The present work aimed to describe the pollen morphology of Brazilian species of …"
4	"intext:\"Byttnerioideae\" AND \"morphology\""	"[BOOK][B] Floral diagrams: an aid to understanding flower morphology and evolution"	"LPR De Craene"	"2022"	280	"Floral morphology is key for understanding floral evolution and plant identification. Floral 
diagrams are two-dimensional representations of flowers that replace extensive descriptions or …"
4	"intext:\"Byttnerioideae\" AND \"morphology\""	"Support for an expanded family concept of Malvaceae within a recircumscribed order Malvales: a combined analysis of plastid atpB and rbcL DNA sequences"	"C Bayer, MF FAY, AY DE BRUIJN"	"1999"	447	"… on molecular, morphological, and biogeographical data: (1) Byttnerioideae, including tribes 
Byttnerieae, Lasiopetaleae and Theobromeae (all of … Pollen morphology and plant taxonomy …"
4	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Phylogenetic analysis of the Malvadendrina clade (Malvaceae sl) based on plastid DNA sequences"	"R Nyffeler, C Bayer, WS Alverson, A Yen"	"2005"	113	"… Thirty-one terminals, encompassing the taxonomic diversity of Malvadendrina, and four 
outgroups from Byttnerioideae and Grewioideae, were included in this study (see Appendix). …"
5	"intext:\"Byttnerioideae\" AND \"morphology\""	"A new penicillate-stigma species of Waltheria (Sterculiaceae, Hermannieae) endemic to Belize"	"JG Saunders, R Pozner"	"2007"	5	"… The new species possesses floral morphology consistent with thrum flowers and thrum … morphology of Waltheria belizensis JG Saunders compared to thrum pollen aperture morphology …"
5	"intext:\"Byttnerioideae\" AND \"morphology\""	"Pollen morphology in the genus Bonamia Thouars (Convolvulaceae) and its taxonomic significance"	"AL da Costa Moreira, AC Mezzonato-Pires"	"2019"	4	"… In Convolvulaceae, the morphology of pollen grains relies on a set of important characters … 
classification of Convolvulaceae using pollen grain morphology, dividing the family into major …"
5	"intext:\"Byttnerioideae\" AND \"morphology\""	"Seed shape quantification in the Malvaceae reveals cardioid-shaped seeds predominantly in herbs."	"JJ Martín Gómez, D Gutiérrez del Pozo, E Cervantes"	"2019"	14	"… The application of morphology to classification requires quantification. In recent years we 
have established a method for seed shape quantification based on the comparison of seed …"
5	"intext:\"Byttnerioideae\" AND \"morphology\""	"Pollen morphology and ultrastructure of representatives of the Thyrsacanthus clade (Acanthaceae)"	"LMC Silva, RLB de Borges, ALA Côrtes"	"2017"	5	"… Although these pioneering studies have provided important information for understanding 
the morphology of the sporoderm of Acanthaceae species, more studies are needed in order …"
5	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Pollen morphology of selected species of the subfamily Bombacoideae (Malvaceae sensu lato)"	"VHR Abreu, CBF Mendonça"	"2014"	15	"… of the Malvaceae family and the need for studies to corroborate the circumscription of the 
group, which remains uncertain, this study aimed to characterize the pollen morphology of the …"
5	"intext:\"Byttnerioideae\" AND \"morphology\""	"Taxonomic significances of seed morphology in some tribes of subfamily Malvoideae (Malvaceae) in Saudi Arabia"	"KA Khalik, S Al-Ruzayza, A Farid"	"2021"	2	"In this study, we evaluated the taxonomic significance and seed macro and micromorphological 
characteristics of 28 species belong to eight genera of subfamily Malvoideae (Malvaceae…"
5	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Taxonomic Update and Habitat Status to Byttneria herbacea from Peninsular India"	"SR Somkuwar"	"2020"	1	"… As a result, those genera once placed under Sterculiaceae family are treated under subfamilies 
like Byttnerioideae. The members of Byttnerioideae clade show (i) a general reduction of …"
5	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Taxonomic implications of pollen of some species of the genus Pterospermum Schreb. (Malvaceae sl. subfam. Dombeyoideae)"	"MAAA Juhari, N Talip, CNAC Amri, NSM Basir"	"2022"	NA	"… Pollen morphology of selected species of the subfamily Bombacoideae (Malvaceae sensu 
… Therefore, the objective of this study is to investigate and characterize the pollen morphology …"
5	"intext:\"Byttnerioideae\" AND \"morphology\""	"Low-copy nuclear genes reveal new evidence of incongruence in relationships within Malvaceae sl"	"R Hernández-Gutiérrez, CG Mendoza"	"2021"	2	"… Interestingly, this arrangement would provide an explanation for the distinct floral morphology 
of Byttnerioideae compared to the rest of the subfamilies. For example, many byttnerioid …"
5	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] Pollen Flora of Pakistan-Malvaceae-Grewioideae-LII"	"A Perveen, M Qaiser"	"2007"	32	"… Pollen morphology of 12 species distributed in 3 genera viz., … nine subfamilies viz., Byttnerioideae, Grewioideae (including … As far as pollen morphology of the subfamily is concerned …"
6	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Floristic characterization and pollen morphology of plants visited by Apis mellifera L. in caatinga areas in Bahia, Brazil"	"HS Reis, VJ Santos, FHM Silva, MD Saba"	"2023"	1	"SciELO - Brasil - Floristic characterization and pollen morphology of plants visited by <i>Apis 
mellifera</i> L. in caatinga areas in Bahia, Brazil Floristic characterization and pollen …"
6	"intext:\"Byttnerioideae\" AND \"morphology\""	"Pollen morphology of heterostylous species in Piriqueta (Passifloraceae sl)"	"GHG de Souza Freitas Teixeira"	"2023"	NA	"Most of the genus Piriqueta occur in Brazil (39 out of 45 species), with a center of distribution 
in Bahia State. In this study, we conducted a palynological investigation of 20 heterostylous …"
6	"intext:\"Byttnerioideae\" AND \"morphology\""	"On the relevance of molecular tools for taxonomic revision in Malvales, Malvaceae sl, and Dombeyoideae"	"T Le Péchon, LDB Gigord"	"2014"	16	"… Despite the apparent divergence of morphology between Neuradaceae and the “expanded” … 
Based on atpB and rbcL [15], Grewioideae are nested in Byttnerioideae, but with low …"
6	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phenetic relationship between Malvaceae ss and its related families"	"E Shamso, A Khattab"	"2016"	4	"… confirmed and verified the segregation of Byttnerioideae of Sterculiaceae sl and Grewioideae 
… morphology averaged for each OTU. In total 103 characters were taken into consideration, …"
6	"intext:\"Byttnerioideae\" AND \"morphology\""	"Pollen morphology of Linum L. section Syllinum Griseb. (Linaceae) of Turkey"	"N Şafak Odabaşi"	"2022"	2	"… This study presents the pollen morphology of 16 taxa of Linum L. section Syllinum Griseb., 
13 of which being endemic to Turkey, by using light and scanning electron microscopy. All the …"
6	"intext:\"Byttnerioideae\" AND \"morphology\""	"Bentham and Hooker's Genera Plantarum and priority relating to the publication of the names of four African genera"	"IM Turner"	"2016"	NA	"… concerning publication of the generic names Allanblackia (Clusiaceae), Alsodeiopsis (Icacinaceae), 
Campylostemon (Celastraceae) and Scaphopetalum (Malvaceae: Byttnerioideae) is …"
6	"intext:\"Byttnerioideae\" AND \"morphology\""	"Paleocene Malvaceae from northern South America and their biogeographical implications"	"MR Carvalho, FA Herrera, CA Jaramillo"	"2011"	81	"… This species is assigned to Malvoideae, based on overall leaf morphology and the 
identification of shared-derived characters among taxa within this group. To place this species, we …"
6	"intext:\"Byttnerioideae\" AND \"morphology\""	"[CITATION][C] Huaceae"	"C Bayer"	"2007"	5	""
6	"intext:\"Byttnerioideae\" AND \"morphology\""	"Investigation of similarities between Clappertonia ficifolia (Willd.) Decne. and Urena lobata L. based on morphology and distribution"	"CO Nichodemus, TE Konyeme, DB Adewale"	"CO Nichodemus, TE Konyeme, DB Adewale - ajol.info"	NA	"… This could be due to a couple of reasons; first, the use of an old classification system that is 
based on morphology alone. Second, the continuous change in the nomenclature of species. …"
6	"intext:\"Byttnerioideae\" AND \"morphology\""	"3D POLLINATION BIOLOGY IN THEOBROMA CACAO"	"KA Wolcott, EL Stanley, OA Gutierrez"	"2023"	NA	"… We present a modern 3D update to cacao's floral morphology … In Table 1, we report the floral morphology measurements of … with concealed anthers in the Byttnerioideae, such as those …"
7	"intext:\"Byttnerioideae\" AND \"morphology\""	"Polyphyly of Rulingia and Commersonia (Lasiopetaleae, Malvaceae sl)"	"BA Whitlock, AM Hale, JL Indorf"	"2011"	8	"… ), petals have a complex three-dimensional morphology, with hooded to strongly concave 
… , although not always as elaborate in morphology. The staminodes present in flowers of …"
7	"intext:\"Byttnerioideae\" AND \"morphology\""	"Chloroplast DNA Sequences Confirm the Placement of the Enigmatic Oceanopapaver within Corchorus (Grewioideae: Malvaceae sl, Formerly Tiliaceae)"	"BA Whitlock, KG Karol"	"2003"	45	"… neocaledonicus, which led them to reexamine the morphology of Oceanopapaver. Based … 
of Grewioideae and their sister group, Byttnerioideae. The Corchorus ndhF matrix consists of …"
7	"intext:\"Byttnerioideae\" AND \"morphology\""	"[PDF][PDF] WILLIAM S. ALVERSON, 2, 4 BARBARA A. WHITLOCK, 2"	"R NYFFELER, C BAYER, DA BAUM"	"1999"	NA	"… Two subclades of /Byttnerioideae are suggested by this study. These ‘‘byttnerioid’’ and ‘‘lasiopetaloid’… 
Members of the /Byttnerioideae clade show a general reduction of stamen number …"
7	"intext:\"Byttnerioideae\" AND \"morphology\""	"Fossil woods (Malvaceae) from the lower Miocene (early to mid-Burdigalian) part of the Cucaracha Formation of Panama (Central America) and their biogeographic …"	"O Rodriguez-Reyes, H Falcon-Lang, P Gasson"	"2014"	31	"… A detailed study of Guazuma (subfamily Byttnerioideae), a genus that is widely distributed 
in the tropics of Central and South America, was undertaken. We note that this taxon is …"
7	"intext:\"Byttnerioideae\" AND \"morphology\""	"Phylogenetic relationships within the subfamily Sterculioideae (Malvaceae/Sterculiaceae-Sterculieae) using the chloroplast gene ndhF"	"P Wilkie, A Clark, RT Pennington, M Cheek"	"2006"	58	"… In Firmiana, floral morphology supports the clades produced by our molecular cladistic … 
Phylogenetic relationships and floral evolution of the Byttnerioideae (‘‘Sterculiaceae’’ or …"
7	"intext:\"Byttnerioideae\" AND \"morphology\""	"General View of Malvaceae Juss. SL and Taxonomic Revision of Genus Abutilon Mill. in Saudi Arabia"	"WK Taiea"	"2009"	NA	"This works deals with the recent opinions about the new classification of the core Malvales 
with special reference to the family Malvaceae sl and the morphological description and …"
7	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Pollen characterization of the bee flora from a Caatinga area of Northeast Brazil"	"IMS Dias, MD Saba"	"2022"	4	"… Pollen morphology data obtained in this study were highly varied, according to the diversity 
of analyzed species. Thus, they are presented below within each pollen parameter analyzed. …"
7	"intext:\"Byttnerioideae\" AND \"morphology\""	"Floral nectaries of Heliocarpus popayanensis and Luehea divaricata (Malvaceae-Grewioideae): structure and ultrastructure"	"EC Lattar, BG Galati, CS Carrera"	"2018"	10	"… Although the morphology and structure of secretory trichomes in H. popayanensis and L. 
divaricata are similar to those of the above mentioned species, their ultrastructure showed …"
7	"intext:\"Byttnerioideae\" AND \"morphology\""	"Huaceae: Huaceae A. Chev., Rev. Intl Bot. Appl. Agric. Trop. 27: 28 (1947)."	"C Bayer"	"2007"	NA	"… , a relationship between Hua and Malvaceae-Byttnerioideae has been constructed. The 
anthers of … Pollen Morphology. The pollen grains of both genera agree even in details. They are …"
7	"intext:\"Byttnerioideae\" AND \"morphology\""	"Tyloses and gums: a review of structure, function and occurrence of vessel occlusions"	"V De Micco, A Balzano, EA Wheeler, P Baas"	"2016"	167	"… Morphology and function of vessel occlusion … Morphology and function of vessel occlusion 
… The occurrence and morphology of tyloses and gums in the vessels of Japanese hardwoods. …"
8	"intext:\"Byttnerioideae\" AND \"morphology\""	"Circumscription of the Malvales and relationships to other rosidae: evidence from rbcL sequence data"	"WS Alverson, KG Karol, DA Baum"	"1998"	202	"… Secondly, the separation of Byttneria and Theobroma (subfamily Byttnerioideae) from the 
rest of Sterculiaceae and their sister group position (along with some Tiliaceae) to the other …"
8	"intext:\"Byttnerioideae\" AND \"morphology\""	"[HTML][HTML] Preliminary placement and new records of an overlooked Amazonian tree, Christiana mennegae (Malvaceae)"	"RG Barbosa-Silva, TS Coutinho, S Vasconcelos"	"2021"	7	"… With the purpose of clarifying and complementing the knowledge regarding Christiana 
mennegae, we provide additional data on its morphology and phylogenetic affinities to establish …"
8	"intext:\"Byttnerioideae\" AND \"morphology\""	"Understanding the role of floral development in the evolution of angiosperm flowers: clarifications from a historical and physico-dynamic perspective"	"L Ronse De Craene"	"2018"	84	"… Flower morphology results from the interaction of an … The first (historical) perspective clarifies 
how flower morphology is … Changes in morphology are mainly induced by shifts in space, …"
8	"intext:\"Byttnerioideae\" AND \"morphology\""	"Malvaceae"	"CC Walker"	"2023"	NA	"A diagnostic description of the family is given with special emphasis on the occurrence of 
succulence. This is followed by information on the ordinal placement, a selection of important …"
8	"intext:\"Byttnerioideae\" AND \"morphology\""	"Comparative analyses of chloroplast genomes of Theobroma cacao and Theobroma grandiflorum"	"Abdullah, S Waseem, B Mirza, I Ahmed, MT Waheed"	"2020"	27	"Theobroma is a plant genus included in tribe Theobromeae, subfamily Byttnerioideae Burnett 
and family Malvaceae. Discrepancies exist in taxonomy at family and genus level. Here, …"
8	"intext:\"Byttnerioideae\" AND \"morphology\""	"[CITATION][C] Pollen morphology of Malvaceae sl from Cerrado forest fragments: details of aperture and ornamentation in the pollen types definition"	"AC Venancio Lopes, CN de Souza"	"2022"	4	""
8	"intext:\"Byttnerioideae\" AND \"morphology\""	"The earliest record of the genus Cola (Malvaceae sensu lato: Sterculioideae) from the Late Oligocene (28–27 Ma) of Ethiopia and leaf characteristics within the …"	"AD Pan, BF Jacobs"	"2009"	27	"… Based on leaf and epidermal morphology, the fossil is considered to be very similar to two 
extant Guineo-Congolian species but differences warrant designation of a new species. This …"
8	"intext:\"Byttnerioideae\" AND \"morphology\""	"Malvaceae"	"C Bayer, K Kubitzki"	"2003"	340	"Trees, shrubs or herbs, exceptionally climbers, rarely monoecious or dioecious, usually with 
tufted or stellate hairs, sometimes also with simple hairs or glands, more rarely lepidote, …"
8	"intext:\"Byttnerioideae\" AND \"morphology\""	"Temporal patterns of flowering and pod-set among Theobroma and Herrania species in a Costa Rican garden plot"	"AM Young, KE Barry"	"2021"	NA	"… purpurea)(Malvaceae: Byttnerioideae). While there were considerable differences in the 
number of flowers, inflorescences and open flowers, timing of these outputs only significantly …"
8	"intext:\"Byttnerioideae\" AND \"morphology\""	"Morphometrical analysis of Ceiba Mill. (Bombacoideae, Malvaceae) pollen: a sacred plant of the Mayan (Mesoamerican) civilisation"	"S Tripathi, A Farooqui, VK Singh, S Singh"	"2019"	7	"… Therefore, this study aimed to characterize the pollen morphology of the Bombacoideae 
species… However, inspite of close analogy in pollen morphology, none have classified the pollen …"
