"page"	"term"	"title"	"authors"	"year"	"n_citations"	"abstract"
4	"search_string1"	"[HTML][HTML] SIB-PAIR 1.00 b (28 Sep 2020)"	"DL Duffy"	"DL Duffy - genepi.qimr.edu.au"	NA	"Program Sib-pair performs a number of simple analyses of family data that tend to be\" 
nonparametric\" or\" robust\" in nature. It is modelled to some extent on the Genetic Analysis System […"
4	"search_string1"	"[PDF][PDF] Software multi-sourcing risks management from vendor's perspective: A systematic literature review protocol"	"M Yaseen, SU Khan, AU Alam"	"2013"	12	"… Search string1 …"
4	"search_string1"	"Capacidade de absorção e processos organizacionais de gestão do conhecimento: relações com a inovação"	"VMV da Costa"	"2017"	2	"The present doctoral thesis, written in the field of work and organizational psychology, merges 
theoretical and empirical scientific papers, and aims to answer to research goals related …"
4	"search_string1"	"[PDF][PDF] Beer for Men and Gods"	"D Smets"	"D Smets - researchgate.net"	NA	"Though this observant quote originates from a rather excellent science fiction novel rather 
than a great work of history, it attests to the significance of beer as a crucial part of the very …"
4	"search_string1"	"[BOOK][B] Imprinting antecedents of the human resource management process: towards a multi-level model"	"AM Kitt"	"2022"	NA	"Since the publications of Bowen and Ostroff's (2004) HRM system strength and Nishii and 
colleagues'(2008) HR attributions, HRM process researchers have advanced a plethora of …"
4	"search_string1"	"[CITATION][C] Statistical Survey of Different Nanotechnology Characterization Methods"	"A Abbasi, S Amiri, D Gharailou, M Maghrebi"	"A Abbasi, S Amiri, D Gharailou, M Maghrebi - studies"	NA	""
5	"search_string1"	"[CITATION][C] Объектно-ориентированное программирование на C/С++: быстрый старт"	"ИА Волков, ТВ Гурьянова"	"ИА Волков, ТВ Гурьянова"	NA	""
5	"search_string1"	"Multipla definitioner av procedurer–feltolerans genom redundans på procedurnivå i ett programspråk"	"O Ivinger"	"2003"	NA	"Fel i programvara (buggar) kostar ofantliga summor varje år. I detta arbete presenteras en 
metod där programexekveringsmiljön utan vare sig programmerarens eller användarens …"
5	"search_string1"	"Geoinformación Comercial de la Ciudad de Cuenca por la Web"	"JA Gutierrez García, SE Lituma Saquicela"	"2008"	NA	"El presente trabajo es una aplicación desarrollada en el área de la Geomática cuyo principal 
objetivo es la Georeferenciación del Comercio en la Ciudad de Cuenca, luego de un …"
5	"search_string1"	"Geoinformación de la ciudad de Cuenca en la Internet"	"JA García Galarza"	"2008"	NA	"El creciente y rápido desarrollo de la Internet y la accesibilidad a diversa información ha 
dado lugar a una nueva generación de Sistemas de Información Geográfica. Los …"
